st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,1,Sheopur,DURGALAL VIJAY (VAKEEL SAAB),Bharatiya Janata Party,85006,708,85714,40.45
S12,Madhya Pradesh,1,Sheopur,BABU JANDEL,Indian National Congress,95602,1242,96844,45.7
S12,Madhya Pradesh,1,Sheopur,BIHARI SINGH SOLANKI,Bahujan Samaj Party,22833,221,23054,10.88
S12,Madhya Pradesh,1,Sheopur,ADIL KHAN,Social Democratic Party Of India,729,4,733,0.35
S12,Madhya Pradesh,1,Sheopur,YOGESH TYAGI,Rashtriya Krantikari Samajwadi Party,233,1,234,0.11
S12,Madhya Pradesh,1,Sheopur,SHIV MAHESH MODI JI,Parivartan Party of India,166,1,167,0.08
S12,Madhya Pradesh,1,Sheopur,HARiSHAKAR JATAV,Aazad Samaj Party (Kanshi Ram),378,8,386,0.18
S12,Madhya Pradesh,1,Sheopur,AYYUB QURESHI,Independent,216,0,216,0.1
S12,Madhya Pradesh,1,Sheopur,TEJPAL AADiVASHi,Independent,206,3,209,0.1
S12,Madhya Pradesh,1,Sheopur,Smt. DURGESH NANDNI,Independent,304,1,305,0.14
S12,Madhya Pradesh,1,Sheopur,BALWAN,Independent,724,0,724,0.34
S12,Madhya Pradesh,1,Sheopur,MURLIDHAR PRAJAPATI,Independent,482,0,482,0.23
S12,Madhya Pradesh,1,Sheopur,RAJENDRA KUMAR SHRIVASTAV,Independent,406,0,406,0.19
S12,Madhya Pradesh,1,Sheopur,HARViLASH,Independent,634,0,634,0.3
S12,Madhya Pradesh,1,Sheopur,NOTA,None of the Above,1794,7,1801,0.85
S12,Madhya Pradesh,2,Vijaypur,DHARA SINGH KUSHWAH,Bahujan Samaj Party,34209,137,34346,16.58
S12,Madhya Pradesh,2,Vijaypur,BABOO LAL MEWRA,Bharatiya Janata Party,51266,321,51587,24.91
S12,Madhya Pradesh,2,Vijaypur,RAMNIWAS RAWAT,Indian National Congress,68818,828,69646,33.63
